OSrXXb,rllt__details,yi40Hd,RDApEe,rllt__details 2,BI0Dve,wA1Bge src,uDyWh
Dental Home Family Dentistry,· Dentist,4.9,(491),"Phoenix, AZ, United States",On-site services,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/4QAqRXhpZgAASUkqAAgAAAABADEBAgAHAAAAGgAAAAAAAABHb29nbGUAAP/bAIQACAYGExIREhISERUQEBUTFRAWEBAYEhESFRAWGBUXGBIREBUYJBsVFiEXFhgdKx8iJiYpKCgWGy4yLCYwIicoJgEJCQkNCw0VDg4YJhUVFiYmJiYmJiYmJiYmJiYmJiYnJiYmJyYmJiYmJiYmJiYmJiYmJiYmJiYmMiYmMiYnJiYm/8AAEQgAWgBaAwERAAIRAQMRAf/EABsAAAIDAQEBAAAAAAAAAAAAAAMEAQUGAgcA/8QAPBAAAQMCBAMEBwUHBQAAAAAAAQIDEQASBAUhMRNBUQYiYYEUFTJCUnGRByOhscEXVHKSwtHhU2Jzg7L/xAAYAQEBAQEBAAAAAAAAAAAAAAAAAQIDBP/EACMRAQEBAQABBAICAwAAAAAAAAABEQISAyExQQQiFFETQmH/2gAMAwEAAhEDEQA/AM36aqNqmLrkYxR5Uw1MrPP6VcHScGepoDN5d4VNXDKMvHSmmCjAeFTVx96FTTBEZYSQAnU7ctOsnSKaYccyIobC3DZJULfe0NsFPLUKH+JiaYVZyy/USBdadLo7pVcfCRHnV1MLIwhIB01E6mmmFFYetIltigbbw9TVNtsVNDCWKjS5TliQVaEwJAM/HbJiNCKDngoCJhN4jTee/tE8kp+iqg6K0zr7NiUG1Nu6BeYCQCbx8taKWKgAIuCwiz3bYuJOsknQ9N6BbElS1FSiVE8zVSli9ZHeSmFXgm0wqCn3vAn61EJh1r40fUVdR0pnQ1oDbboHGm6mhpDdZaHaQpSwhDa3FEFUIt2GmpUQBvVTcO+qMR+7x/yLb/pKqHk4OW4nmGU+bjn4WpqGhHLHubyR/A3H4qUaaoSsnVzdcPyKU/8AlIrOgPqxke0CrxWtavzVFY8q6eMWWS4TLyZddZaHwAArPnHdFa5/7Utz4jXJzDKAIuZ001un8q6by5/s86U3oapgDbdEONt1FMoRUVo+yKfvT/Cr9Ks+We/hp8Q1Wq5qp9ms1qEVsVh0BVh6gxTzaiVAwRJ0Inn41nG9D9GPwo/lFDXUL8PoKGrRTWh+VdmCraKJhxtFRRwKC47Ok8TRVuh106eNPOce9Y75vUyezR6qkh64DciIFS/kz+nOeh199M7je1mDbMKxSVGbTw7nQCNDcWwQnXrV31OvjluTmfPQ2FzRh5UMvoeIEqCFBRAO1wG3nWJ5f7TG5efq6bU3VVlV4fvK+Z/OsNvvRqi459FqmCqb0rq5km00DSU0HShQBxWDU60ttPtEiNbdjO/lXT0s85rn6tzhWo7IvQQVJAOhlcgjmCOYr1/pPp4/LqpHY5yD942OgEVf8nKeNXXZjI1YdZJWFXJCdI3HPSvN+R3OpHo9CWWtWRXmelmGnLlui0psWQbucnQpI0M71ztx1nuZbZmdtBOs/hArPXWLJqLPl+P9qurkVuXuqWCVKuFjZB2SSS4CUpPeHsga80yABXorgEkVAdNUfGgNg8IXTwwooKveG4jX9KTq8XYz3z5TFth+yp1ueUoDQW2p35qnnVv5Pd+I48/i8/dVWLyB9KilL6DrsuUqAB6CZqfyvqxf4t+qsMBlSmlBRdvmRbEAHeQZ8KxfW8/Z059Lw99WpVRtQBab3AVGbyAmDG+8xFcep+ztzfYW5IPeKgCN0hStQRvaDU6mtc3FM69ibjaQEyYBQ5NvKe70rUkZFy1haLuJBJCE3Tco236rVAn2gBpskb716a4x822TsCflUBS2RuCPnQcGoH8kSOKmTAB1PhB3/LzoNKzim2uMpbgCCQq4+yABBMxp51Z0x4/17MhmT7TuJKm8SgpWfdWQ5sPYjaTv5Vw748u519OkzxsW2EwASbgpatI761LH0JrpkQ4pVBmMZnjCHVoU+0lYVBSpaEkHeCCd41rNjcqHM9ZSYLrYMTBUkGOsTtTFjzdz7QcUCRxU6Ej2EcvKt+MTXqd1aYYjH5c0cQ8+tsPuNtNhDR1Ikr70ayDJ2B9g+W5PZmrHIsElp16wWJW0yvgSTYq52TEmJ20+E7bCdEXc1hpd5Kgyk+CiI357mPCp83BCsd6Qy8kp4Q4KXCpwkJBVMpUSkRbbqdta7+r6XgzOtZlnBpbR6QCh1CVR9wbzMge9aJ12rl423Ps3Pf6B/algkKsXxkK2tU0sKnpbvUnNXyaPJO0TOMbU4wVFCVls3JKCFgJJEHwUKlmLLrzntP8AZtisVjH3m1NJbcIIK1OA6ISnVKUEbinlFyi4j7L3nBClspJAF1y5ABmBKIqea8y83QV/Y+4ST6Y0JMxaTHhN2tXzTK3l1aRlsXlKy+Xm3S2ooDZTPdUBcRcIPxGtS+2JYYyfL3GnHnHF8RTiUJmRoEFZACQkad81LdSTFo64YMCTGg2k9JqKy2D+015lVq8KTbKbbkDXXQKSDI1PPnSc++nkjG/aU27h3mPQ3WeKycOVIKXYSQRrcoTFx8a6ddddfLPt9Esv7boQEpPFhLiXLeEChVpSbVplUggRXPriUla/9sTPupQ3/wBD36CsTirsVeX9u8KHMQ4rEBKn3uMQGn0pmxCNbm4B7layrLCmOzXAvOKcVimiVRpctOwA2jwrN5rXlAOPl/7w35LJ/SmU8oKGsF/qo/m/xTKutdxBW2SF/jVQQOeNB1fpvQZLFZcStRjczW450A5Z/tq7Bz6sHw0RHqwfDQ90HLE9Kp7oOVo6UNR6nR0FMNR6ib6D6D+1MNaW89TXJ0JlZ6mqCJWepoOgs9TQSVURzNCoJqjhVEDVQDNVEGqIoP/Z",
"Bright Now! Dental & Orthodontics - Phoenix, AZ (N Cave Creek Rd)",· Dentist,4.4,(469),"Phoenix, AZ, United States",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","""... courteous, excellent service with an informed and caring Dentist."""
Mesa Modern Dentistry and Orthodontics,· Dentist,4.6,(466),"Mesa, AZ, United States",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1gRtjeEeyZ-w_mtjDjFzJXK-2f3YIulVrUQdLKPXxhPmpY5vzZcxObzTST7V1oa4-XwzYsrJa3IoLJjbnvneIegAmFqAjetBhEPuPyo5U3oRSbm1Qa8bttjWGd_SV9IQHKjfq=w115-h115-n-k-no,"""She is incredibly skilled at cleaning teeth—thorough yet remarkably gentle."""
Dental Center of Mesa,· Dentist,4.9,(461),"Mesa, AZ, United States",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","""This dental office has a well-organized, knowledgeable and friendly staff."""
Pinnacle Peak Family Dentistry,· Dentist,4.9,(459),"Scottsdale, AZ, United States",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","""Dr. Bebeau helped me with a veneer repair and did an excellent job."""
Arizona Pediatric Dentistry and Orthodontics,· Pediatric dentist,4.5,(442),"Phoenix, AZ, United States",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","""Helping me straighten my teeth.and have a beautiful smile"""
Elevation Dental Group,· Dentist,4.9,(439),"Scottsdale, AZ, United States",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","""Dr Lachot has done an amazing job putting 9 crowns on my upper front teeth."""
Advanced Dental Care,· Dentist,5.0,(404),"Phoenix, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipPupJJB7HzP7cosXPrDfAmgEhL3ANY4Kutofrfd=w115-h115-n-k-no,"""I cracked my front tooth and he was able to work me in to fix it."""
"Dental Brothers - Mesa, AZ",· Dentist,4.7,(400),"Mesa, AZ, United States",On-site services,https://lh3.googleusercontent.com/p/AF1QipMJNfzUyVBya6tnB_Ouq5nUw0R2x5L9ET6AM3mB=w115-h115-n-k-no,
Arizona Family Dentistry,· Dentist,4.8,(391),"Phoenix, AZ, United States",On-site services,https://lh3.googleusercontent.com/p/AF1QipOdZ6G04xFrF-hgJr-xFMHOUL-7SS9DzV4qgqJt=w115-h115-n-k-no,
Blazer & Vacanti Dentistry,· Dentist,5.0,(380),"Scottsdale, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipPKEkR6LlXI-5jA_TbLJz5vfDbqPsBaOGXdTo2C=w115-h115-n-k-no,"""This dentist provides care that is thorough, efficient, and  well-planned."""
