OSrXXb,rllt__details,yi40Hd,RDApEe,rllt__details 2,BI0Dve,wA1Bge src,uDyWh,Website,Email_Primary,Email_Confidence,Email_Source,Phone_Primary,Phone_Validated,Phone_Source,Doctor_Name,Last_Updated
Arizona Biltmore Dentistry,· Dentist,4.7,(1.3K),"Phoenix, AZ, United States",On-site services,https://lh3.googleusercontent.com/p/AF1QipOWTyMTjVywtTwLZnsl1uTu6g0k1NAXh8d_A_fq=w115-h115-n-k-no,,https://www.arizonabiltmoredentistry.com/,info@arizonabiltmoredentistry.com,60,Website Scrape (Generic),(225) 573-4129,True,Website Scrape (Free),"Aaron Jeziorski, Michael Hood",2025-12-23T02:16:21.213307
AZ Cosmetic & Family Dentistry: Dentist in Peoria,· Dentist,4.9,(1.5K),"Peoria, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipPZD0yGa9UYL9Zowx81vXNUh7__8wP5F4wVnq6E=w115-h115-n-k-no,"""They did a great job of explaining my visit details to improve my teeth.""",,,0,,,False,,,2025-12-23T02:16:27.587504
Life Smiles Dental Care,· Dentist,5.0,(1.7K),"Phoenix, AZ, United States",On-site services,https://lh3.googleusercontent.com/p/AF1QipMAv5CywaUr8zo3gd2pDEYaaYIimhdEYL6ogw2I=w115-h115-n-k-no,,https://www.lifesmilesdentalcare.com/,info@lifesmilesdentalcare.com,80,Website Scrape (Generic),(240) 112-9874,True,Website Scrape (Free),"Tim Schmidt, Paul Neilson, Jared Bishop",2025-12-23T02:16:34.385840
Dentistry of Arizona - Surprise,· Dentist,4.9,(286),"Surprise, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipNRpiyOB6rrKjw9FsA19mZtAjhKSZaQNqPKb6wC=w115-h115-n-k-no,"""They were able to do see what was causing my tooth sensitivity.""",,,0,,,False,,,2025-12-23T02:16:51.503283
Arizona Family Dental,· Dentist,4.9,(509),"Chandler, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipMLWdFXkEmHSN72G1pLTcZCnqR-lWhx7bxmlKOM=w115-h115-n-k-no,"""Dental Hygienist Sue was so kind, caring, professional and thorough.""",,,0,,,False,,,2025-12-23T02:16:59.588771
Arizona Advanced Dental,· Dentist,4.9,(587),"Mesa, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipOIHUnwajXgikZFXDmYaSj1AvV-k3b-ebCoIeSo=w115-h115-n-k-no,"""My teeth feel amazing and I left with a brighter smile and mood.""",https://www.advanceddental.com/,contact@advanceddental.com,80,Website Scrape (Generic),(201) 816-3471,True,Website Scrape (Free),"Jadee Abbott, Mike Maroon",2025-12-23T02:17:35.932024
Arizona Dental,· Dentist,4.7,(62),"Phoenix, AZ, United States",On-site services,https://lh3.googleusercontent.com/p/AF1QipObug4nIjkyx-HAU5T0lImIE1eYbacydxBoOSWe=w115-h115-n-k-no,,https://arizonadental.com/,info@arizonadental.com,80,Website Scrape (Generic),(241) 717-6891,True,Website Scrape (Free),Joe Gerard,2025-12-23T02:17:47.292493
Arizona Family Dentistry,· Dentist,4.8,(391),"Phoenix, AZ, United States",On-site services,https://lh3.googleusercontent.com/p/AF1QipOdZ6G04xFrF-hgJr-xFMHOUL-7SS9DzV4qgqJt=w115-h115-n-k-no,,,,0,,,False,,,2025-12-23T02:17:54.747908
Arizona Dental Health,· Dentist,5.0,(806),"Mesa, AZ, United States",,https://lh3.googleusercontent.com/p/AF1QipPKt3WvQ19OEXd7gQlzNtP4gST6aOwPpqCrroyp=w115-h115-n-k-no,"""I had a few teeth cleanings and they were very thorough and gentle!""",https://arizonadentalhealthinc.com/,arizonadentalhealth@gmail.com,80,Website Scrape (Personal),(480) 926-1899,True,Website Scrape (Free),,2025-12-23T02:18:38.750078
Paradise Ridge Dentistry,· Dentist,4.6,(946),"Phoenix, AZ, United States",On-site services,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbjY7oAXs6YRFHL89OCCJHV_mxcIyDZDWLknqGxryYFkLdhmLM6_vSBplUqbLeTqBYYVcjxp02MXyKPSOEvFhz8w3Ap7rDmu_oTtnzlmqEZRYQzCeAuCPvjB5fW2T97CGw7i6PHA=w115-h115-n-k-no,,,,0,,,False,,,2025-12-23T02:18:49.674190
