business_name,website,email,email_tier,phone,lead_score,validation_signals,source_query,email_role,Email_Source
Fire & Ice Heating and Air Conditioning,https://indoortemp.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*431*fire-ice-columbus,when.fireball@indoortemp.com,1,+1 614-642-2236,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker)
Sears Heating and Cooling,https://www.searsheatingcooling.com/,paul@searsheatingcooling.com,1,+1 614-475-1800,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker)
Ohio City,http://ohiocityhvac.com/,hello@ohiocityhvac.com,3,+1 216-406-5415,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Columbus Worthington Air,https://www.cwaohio.com/contact-us?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,contact@cwaohio.com,3,+1 614-965-6133,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
"Logan Services A/C, Heat & Plumbing",https://www.logan-inc.com/?utm_source=google-my-business&utm_medium=organic&utm_campaign=dayton,admin@logan-inc.com,3,+1 937-224-3200,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Hetter Heating & Cooling,http://www.hetterheating.com/,hello@hetterheating.com,3,+1 614-784-9200,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
"Buckeye Heating, Cooling & Plumbing",https://buckeyeheat.com/?utm_campaign=gmb_msg-col_home_everyone_main&utm_medium=gmb&utm_source=google,office@buckeyeheat.com,3,+1 614-647-5287,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Pickerington Heating & Cooling,https://www.pickheat.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,inbound@pickheat.com,1,+1 614-344-6885,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker)
Dor-Mar Columbus Heating And Air,https://www.dormarhvac.com/locations/franklin-county/columbus/,office@dormarhvac.com,3,+1 614-238-6689,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Aire Serv of Northeast Ohio,https://www.aireserv.com/northeast-ohio/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,hello@aireserv.com,3,+1 330-974-1496,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Delaware Heating & Air,https://www.delawareairandheat.com/,inbound@delawareairandheat.com,1,+1 740-314-4279,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker)
Westin Air Heating and Cooling - Sunbury Ohio,https://www.westinair.com/hvac-services-sunbury-ohio.php,contact@westinair.com,3,+1 614-321-1223,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Cosby Heating and Cooling,https://cosbyhc.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,office@cosbyhc.com,3,+1 740-431-4230,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
W.F. Hann and Sons,https://wfhann.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Warrensville-Heights-OH,hello@wfhann.com,3,+1 216-626-6836,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
US Heating and Air Conditioning,https://usheating.com/,sales@usheating.com,3,+1 614-888-7332,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Emergency Plumbing Heating & Air,https://www.emergencyplumbingservice.com/,contact@emergencyplumbingservice.com,3,+1 740-273-6356,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
"Eco Plumbers, Electricians, and HVAC Technicians",https://www.geteco.com/?utm_source=GMB&utm_medium=organic&utm_campaign=delaware,contact@geteco.com,3,+1 614-665-5197,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
OHIO HVAC SERVICES LLC,,,,+1 937-998-9080,75,,Ohio Google Batch 2,,
Central Ohio Heating And Cooling,https://www.centralohioheatingandcooling.com/,hello@centralohioheatingandcooling.com,3,+1 740-973-0871,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
New Albany Heating & Cooling,https://newalbanyheatingcooling.com/,inbound@newalbanyheatingcooling.com,1,+1 614-344-6863,75,,Ohio Google Batch 2,owner,Tier 1 (Decision Maker)
Ohio Complete Heating and Cooling,,,,+1 513-888-0507,75,,Ohio Google Batch 2,,
"Aire-Flo Heating, Cooling & Generators",https://www.aire-flo.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP,contact@aire-flo.com,3,+1 614-585-8944,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
Legacy Heating and Cooling,https://legacyohio.com/?utm_source=GMB&utm_medium=organic&utm_campaign=columbus,info@legacyohio.com,3,+1 740-272-4757,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
"Apex Pros Plumbing, Electrical, Heating and Air",https://apexpros.com/,sales@apexpros.com,3,+1 614-654-0344,75,,Ohio Google Batch 2,operational,Tier 3 (Operational)
