business_name,Website,Email_Primary,Phone_Validated,Last_Updated,phone,Email_Source,email,Phone_Primary,email_tier,Email_Confidence,website,lead_score,Phone_Source,Doctor_Name,validation_signals,source_query,email_role
Kittrell Services LLC - Arizona HVAC Services,https://www.kittrellservicesllc.com/,,True,2026-01-24T15:58:09.249877,(602) 301-1068,Website Direct (Prioritized),,(248) 635-5366,,30,https://www.kittrellservicesllc.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Contact Us,none
"Arizona HVAC Balance,HVAC Balance in Arizona",https://hvacbalance.com/arizona/,,True,2026-01-24T15:58:25.402078,800-217-8437,,,(202) 677-0475,,0,https://hvacbalance.com/arizona/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Contact Us,none
"HVAC & Plumber In Mesa, AZ | Air Conditioning & Heating",https://airtimeaz.com/,,True,2026-01-24T15:58:50.748578,480-776-7993,,,(999) 878-6999,,0,https://airtimeaz.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Arizona Contact Us,none
Arizona HVAC Pros,https://www.azhvaccompany.com/,info@azhvaccompany.com,True,2026-01-24T15:59:13.945337,480-464-4644,Tier 2 (Strong Generic),,(810) 186-6221,,90,https://www.azhvaccompany.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Arizona Contact Us,generic
Phoenix AC Emergency Repairs & Repair Inspections | AC Company,https://azacexperts.com/contact/,,True,2026-01-24T15:59:33.469347,(602) 253-6995,,,(623) 556-5446,,0,https://azacexperts.com/contact/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Arizona Contact Us,none
Contact | The HVAC Company,https://www.thehvaccompany.net/contact,service@thehvaccompany.net,True,2026-01-24T16:00:10.582303,(480) 687-8081,Tier 3 (Operational),service@thehvaccompany.net,(863) 186-4884,3,70,https://www.thehvaccompany.net/contact,75,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 3, Valid Phone, Address/Map",HVAC Arizona Contact Us,operational
Arizona HVAC | Commercial Equipment Reps | Phoenix,https://arizona-hvac.com/,bwatt@arizona-hvac.com,True,2026-01-24T16:00:27.540695,602-814-0807,Tier 1 (Decision Maker),dwatt@arizona-hvac.com,(562) 509-1536,3,70,https://arizona-hvac.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 3, Valid Phone",HVAC Arizona Contact Us,owner
US Air Conditioning Distributors California Arizona Nevada Idaho Utah,https://us-ac.com/,,True,2026-01-24T16:01:01.388839,(800) 937-7222,,,(800) 937-7222,,0,https://us-ac.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Arizona Contact Us,none
"Arizona AC & Heating, Air Conditioning & Heat Pumps in AZ.",https://www.arizonaacandheating.com/,info@arizonaacandheating.com,True,2026-01-24T16:01:23.931395,(623)-386-0477,Tier 2 (Strong Generic),info@ArizonaACandHeating.com,(623) 386-0477,2,50,https://www.arizonaacandheating.com/,90,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone, Address/Map",HVAC Arizona Contact Us,generic
"AZ HVAC Solutions | Expert HVAC Services in Phoenix, AZ",https://www.azhvacsolutions.com/,matt@azhvacsolutions.com,True,2026-01-24T16:01:54.241762,(623) 236-6695,Tier 1 (Decision Maker),,(623) 236-6695,,70,https://www.azhvacsolutions.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Contact Us,owner
Superior Arizona HVAC Contractor | HVAC-SG,https://hvacsgaz.com/,,True,2026-01-24T16:02:18.405226,(623) 300-5903,,,(675) 975-7015,,0,https://hvacsgaz.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Contact Us,none
Home - Quality Reliable HVAC company - Hackney Inc.,https://hackneyinc.com/,info@hackneyinc.com,True,2026-01-24T16:03:08.106212,(855) 422-5639,Tier 2 (Strong Generic),info@hackneyinc.com,(999) 999-9999,2,70,https://hackneyinc.com/,90,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone",HVAC Arizona Contact Us,generic
"King HVAC Contractors, AC Repair Phoenix AZ-Scottsdale HVAC Company",https://hvacking.us/,frank@hvacking.us,True,2026-01-24T16:03:36.639030,(480) 372-9865,Tier 1 (Decision Maker),,(480) 372-9865,,50,https://hvacking.us/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Arizona Call us,owner
Phoenix HVAC Services | We Fix It,https://www.wefixitazair.com/,,True,2026-01-24T16:03:53.644187,480-405-5258,,,(251) 112-2040,,0,https://www.wefixitazair.com/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Call us,none
"HVAC Services Mesa, AZ | Alaskan AC & Heating",https://www.alaskanac.com/phoenix-az/service-area/mesa-az-hvac-services/,,True,2026-01-24T16:04:25.111094,602-783-8111,,,(844) 364-5800,,0,https://www.alaskanac.com/phoenix-az/service-area/mesa-az-hvac-services/,75,Website Direct,,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Arizona Call us,none
"TSC Air | HVAC Maintenance, Service, Repair, & Replacement | East Valley",https://tscair.com/,info@tscair.com,True,2026-01-24T18:21:31.661095,(855) 872-2475,Tier 2 (Strong Generic),info@tscair.com,(988) 509-0991,2,90,https://tscair.com/,90,Website Direct,,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone",HVAC Arizona Family owned,generic
