business_name,website,email,email_tier,phone,lead_score,validation_signals,source_query,email_role,Email_Source,email_confidence_type,owner_name,name_source
"HVAC and Commercial Refrigeration Repair Services Canton, Ohio - HVAC Ohio Comfort Refrigeration",https://www.hvacohio.com/contact,maureen@hvacohio.com,1,(800) 971-2747,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,owner,Tier 1 (Decision Maker),,,
"Yoder HVAC | Trusted Heating, Cooling, and Comfort in Ohio",https://yoderhvac.com/,sales@yoderhvac.com,3,(614) 206-5401,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
"Akron HVAC, Electricians & Plumbers | Heating & Cooling",https://www.heartofohiohvac.com/,sales@heartofohiohvac.com,3,330-764-1011,75,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Medina Ohio HVAC | Top Akron Area Heating & Cooling,https://medinaohiohvac.com/,sales@medinaohiohvac.com,3,(330) 738-8858,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
"Air One Heating and Cooling HVAC Contractor Cincinnati, OH",https://aironeohio.com/,sales@aironeohio.com,3,513-553-4212,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Contact Us For HVAC Installation or Repair In Northeast Ohio!,https://shakleymechanical.com/contact/,info@shakleymechanical.com,3,419-281-6909,90,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone, Address/Map",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
"Local HVAC Company Warren, Ohio",https://carterheatingcooling.com/contact-us,business@carterheatingcooling.com,1,330-824-2665,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,owner,Tier 1 (Decision Maker),,,
"Contact Us | Emergency HVAC Repair | Cleveland, Ohio",https://www.72degrees-hvac.com/contact/,72degrees.htg@gmail.com,3,(216) 228-8336,75,"Real Website, Keywords, Contact Page, Email Tier 3, Valid Phone, Address/Map",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Hvac Service Columbus Ohio,https://www.heatingandcoolingproguys.com/hvac-service-columbus-ohio,support@heatingandcoolingproguys.com,3,(614) 702-8348,100,"Real Website, Keywords, Contact Page, Email Tier 1, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Commercial HVAC Service Contractors Columbus OH - Ohio Heating,https://ohheating.com/commercial-hvac/,sales@ohheating.com,3,(614) 989-6835,75,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Get Hvac Contractor in Ohio - Luckys Contractors,https://LuckysContractors.com/s/oh/hvac-contractor-near-me,sales@LuckysContractors.com,3,833-748-1578,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
"For dependable comfort, call heartland today! 614.450.COOL - For Dependable Comfort, Call Heartland",https://www.heartlandheating.org/index.html,customerservice@heartlandheating.org,3,614.335.4328,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Budget Heating and Air Conditioning,https://budgetohio.com/,info@budgetohio.com,3,(216) 600-5879,90,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
Waibel Energy Systems,https://gowaibel.com/,Info937-264-4343sales@gowaibel.com,3,937-264-4343,90,"Real Website, Keywords, Contact Page, Email Tier 2, Valid Phone",HVAC Ohio Contact Us,operational,Tier 3 (Operational),,,
"Top HVAC Company in Columbus, OH for Heating & Air",https://ohheating.com/,sales@ohheating.com,3,(614) 989-6835,75,"Real Website, Keywords, Contact Page, Valid Phone, Address/Map",HVAC Ohio Call us,operational,Tier 3 (Operational),,,
Evans Heating & AC: Ohio's Best HVAC Service,https://evansheatingandac.com/,akron@evansheatingandac.com,1,(888) 960-7926,75,"Real Website, Keywords, Contact Page, Valid Phone",HVAC Ohio Call us,owner,Tier 1 (Decision Maker),,,
"Heating, Cooling, Plumbing & Electrical | CJS Heating & Air | Dayton & Eaton OH",https://cjsheatingandair.com/,jim@cjsheating.com,1,937-966-0522,75,"Real Website, Keywords, Contact Page, Email Tier 3, Valid Phone",HVAC Ohio Call us,owner,Tier 1 (Decision Maker),,,
